"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1901",1901,-2,-2.4,2.2,7.1,12.3,14.9,19.5,17.6,14.4,11.1,4.3,1.6
"1902",1902,3.5,-1.1,2.9,5.7,8.700001,15,15.2,14.3,12.4,8,2.9,-0.5999999
"1903",1903,0.9,3.9,5.9,4.9,12.2,15,16.7,15.2,13.8,9.499999,4.7,0.7000002
"1904",1904,0.3,0.9,2.7,7.5,10.9,14.7,17.7,16.7,13.4,9.1,5,3.5
"1905",1905,0,2,4.1,4.8,12.1,16.9,17.9,16.6,13.5,6,4.1,2.3
"1906",1906,1.7,1.5,2.6,8,13,15.6,17.3,16.8,14,10.1,7.6,-0.7
"1907",1907,0.09999996,-0.5000001,3,5.7,11.4,13.9,15,15.1,13.5,12.7,4.5,1.8
"1908",1908,0.09999996,2.3,2.5,5.2,11.3,15.8,17.9,15.7,13.3,9.499999,2.7,0.5000001
"1909",1909,-0.2,-1.7,0.9000001,5.6,9.300001,14,15.4,16,13.4,11.6,2.8,2.5
"1910",1910,1.9,2.8,4.1,7.1,12.1,16.6,16.4,16.7,13.7,9.699999,3.2,3.2
"1911",1911,1.2,1.9,3.8,7,13.3,15,18,19.3,15,9.2,5.700001,3.4
"1912",1912,-2.1,0.4,5.1,6.5,10.7,14.8,18.9,15.4,11.2,7.7,3.9,4.6
"1913",1913,0.2,2.1,5.4,7.7,12.2,14.8,16.1,15.8,14,9.9,7.6,3.3
"1914",1914,-0.8,4.1,4.3,8.900001,11,15.3,19.4,18.1,14,9.1,4.5,4.3
"1915",1915,0.3,1.3,1,6.599999,11.3,15.9,16.3,16,13.3,7.2,3,1.9
"1916",1916,3.5,1.1,2.5,7.7,11.8,12.7,16.4,16.2,12.9,8.900001,5.9,2.7
"1917",1917,-1.6,-2.2,-0.6999998,4.2,12.7,18.1,17.9,18,15.1,8.7,6.2,-0.0999999
"1918",1918,0.4,1.5,3.4,8.299999,12.9,13.1,16.7,16.5,13.2,9.699999,4.6,3.6
"1919",1919,1.5,-0.1,2.2,5.9,11.5,14.7,15.7,15.4,15,7.599999,0.6999998,0.7000002
"1920",1920,1.4,3.2,6,8.7,12.5,14.6,17.9,15.8,13.8,7.3,3.4,1.3
"1921",1921,3.8,2,6.1,8.2,13.6,14.2,17.6,16.9,13.7,11,1.5,1.9
"1922",1922,-2,-1.6,2.9,5,12.1,14.5,15.7,15.2,12.3,5.9,3.8,3.4
"1923",1923,2.6,-0.2,4.2,5.6,10.1,11.9,17.8,15.1,13.6,10.8,3.9,-1.1
"1924",1924,-2.4,-2.4,1,4.599999,11.6,14.3,16.1,16,14.6,10.3,5,3.4
"1925",1925,3.7,4.2,1.9,7.7,13.4,14.7,18.9,17.5,12.6,8.7,2.9,0.1000001
"1926",1926,0.5,2.3,3.6,8.5,10.7,14.4,18.5,16.8,14.4,7.7,6.6,2.1
"1927",1927,2.6,1.3,6,6.1,9,12.6,17.9,17.4,14.3,9.499999,2.8,-2.3
"1928",1928,1.2,2.3,2.4,6.4,9.900001,12.7,16.5,15.8,13.5,9.6,7.2,1
"1929",1929,-3,-5.4,2.3,3.5,12,13.3,16.5,17,15.4,10.5,6.1,4.4
"1930",1930,3.2,0.5,3.5,7.6,11.5,17.2,16.9,16.6,13.7,9.9,6.4,2.1
"1931",1931,0.6,-0.3,-0.2,5,13.5,13.9,16.9,16.1,11.8,8.400001,5.3,2
"1932",1932,2.8,0.4,1.1,6.7,12.2,14.4,19,18.4,14.7,8.900001,5.2,2.7
"1933",1933,-0.8,0.6,4.4,6.5,11.6,16,18.4,17.2,14.4,10.1,4.2,-0.3
"1934",1934,1.1,2.8,4.8,8.099999,12.3,15.3,18.3,17.2,15.9,10.7,5.700001,3.8
"1935",1935,0.3,2.5,3,7.2,10.2,16.5,17.5,16.9,14.4,9.699999,6,1.8
"1936",1936,3.1,-0.3,3.7,5.8,11.8,16.7,17.9,16.9,13.6,7.7,5.3,3.4
"1937",1937,-1.1,1.3,2.3,7.4,13.7,15.7,17.8,18.5,15,10.9,4.4,0.1000001
"1938",1938,2.1,2.3,7,6.3,10.8,14.7,17.3,18.9,15.2,10.4,8.400001,0.4
"1939",1939,2.3,3.4,2.5,7.5,10.9,16.2,17.7,18.9,15,6.9,5.6,0.3000001
"1940",1940,-5,-6.4,0.8000002,5.5,11.5,17,17.2,15.3,12.2,7.9,5.9,-0.1999998
"1941",1941,-5.8,-1.8,1.9,4.5,9.300001,15.5,19.5,15.9,13.2,8.6,2.4,2.5
"1942",1942,-6.5,-5.4,-1.7,5.9,10.7,13.2,16,17.9,14.7,10.8,4.7,3.2
"1943",1943,-0.6,3.9,5.4,8.6,12.3,15.2,17.7,17.5,14.6,10.8,4.3,1.9
"1944",1944,3.6,1.2,2.1,6.9,10.5,14.1,18.4,20.1,14.2,9.9,5.1,1.5
"1945",1945,-1.3,2.9,5.700001,7.8,11.8,15.3,18.1,17.7,14.5,10.6,5.5,2.2
