"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1901",1901,0.3999999,0.1000001,4.4,10.1,16.4,18.1,23.6,21,17.8,13.8,6.8,3.6
"1902",1902,5.4,1.4,5.3,8.900001,12,18.8,18.4,17.3,15.6,10.7,5.3,1.3
"1903",1903,2.9,6.1,8.7,7.4,15.7,18.4,20,18.1,17.1,11.9,6.6,2.2
"1904",1904,1.8,2.4,5.2,10.4,14.4,18.3,22,20.4,16.7,11.8,6.9,5.6
"1905",1905,2.4,4,6.6,7.1,16.3,20.9,21.2,20,16.3,8.6,6.1,4
"1906",1906,3.8,3,4.900001,11.9,17,19.3,20.8,20.2,17,12.9,9.7,1.3
"1907",1907,2.1,1.3,5.9,8.799999,15.5,17,18,17.9,17,15.7,6.9,3.6
"1908",1908,2.3,4.2,4.900001,8.1,14.5,19.5,21.4,18.9,16.5,12.9,5.5,2.4
"1909",1909,1.9,0.7,3.4,8.900001,13.4,17.5,18.2,19.2,16.1,14.4,5.099999,4.6
"1910",1910,3.9,4.5,7.3,10.4,15.9,20.5,19.3,19.7,16.9,12.7,5.2,4.900001
"1911",1911,3.1,4.2,6.5,10.4,17.5,18.7,22,23.6,19,12.1,7.7,5
"1912",1912,0.3,2.7,7.7,10.1,14.2,17.9,22.8,18.2,14.2,10.6,5.9,6.5
"1913",1913,2,4.4,8.6,11.4,16.3,18.2,19.3,19.1,17.4,13.1,9.7,5.2
"1914",1914,1.4,6.6,6.8,12.6,14.7,18.5,22.8,21.8,17.5,11.1,6.3,6.1
"1915",1915,2.2,3.3,3.3,9.999999,15.9,20.1,19.5,18.9,17,9.2,5.099999,4.1
"1916",1916,5.5,3,4.4,11.4,15.6,15.7,19.6,19.2,16.4,11.7,8,4.300001
"1917",1917,0.2,0.3,1.7,7,17.7,22.7,21.5,21.3,18.4,11.5,8.5,2
"1918",1918,2.8,3.5,6.5,11.8,17.5,16.6,20.2,19.7,16.1,12.2,6.6,5.3
"1919",1919,3.2,1.8,4.6,8.799999,15.8,18.2,18.8,18.9,18.8,10.2,2.6,2.7
"1920",1920,3.5,5.8,9.2,11.3,16.1,18.2,21.3,18.7,16.6,10.9,5.8,2.9
"1921",1921,6,4.1,9.400001,11.8,18,17.7,21.6,20.8,17.6,14.7,3.5,3.9
"1922",1922,0.2,0.9000001,5.4,7.9,16.3,18.2,18.6,18.5,15.1,8.900001,6,5.1
"1923",1923,4.4,1.6,7.4,9.1,13.3,14.5,21.6,18.2,16.7,13.5,6,0.8000002
"1924",1924,0,-0.3,3.9,7.2,15.2,17.7,19.6,19.2,17.6,13.2,7.5,5.2
"1925",1925,5.700001,6.4,4.5,11.4,17.8,18.3,22.8,20.6,15.3,11.7,4.9,2.5
"1926",1926,2.4,3.8,6.4,12.2,14.2,17.4,22,20.1,17.7,10.2,8.6,3.9
"1927",1927,4.3,3.3,9,8.799999,12.7,15.9,21.1,20.4,17.3,12.2,4.5,-0.3999996
"1928",1928,3.1,4.4,6.1,9.8,13.8,16.1,20.2,19.2,17.6,12.6,9.1,2.6
"1929",1929,-0.7,-2.3,5.4,6.4,16.3,16.7,20.3,21,19.7,13.2,8.400001,6.4
"1930",1930,5.2,2.7,6.7,10.5,15.4,21.4,20.3,20.1,16.4,12.9,8.7,3.7
"1931",1931,2.4,1.3,3,8.1,17.6,17.4,19.9,19.4,14.7,11.5,7.4,4.2
"1932",1932,5.099999,3.1,4.4,9.900001,15.8,18.5,22.6,22.3,17.8,11.6,7.4,4.7
"1933",1933,1.3,2.8,8,9.900001,15.5,19.9,22,21.1,18.4,12.9,6,1.7
"1934",1934,3,4.900001,7.3,12.2,16.6,19.7,22.6,20.7,20,13.5,7.9,5.4
"1935",1935,2.3,4.8,6.300001,10.3,14.5,20.5,21.4,21.1,17.9,12.6,8.2,3.5
"1936",1936,5.099999,1.6,6.5,8.900001,15.3,21.1,21.4,20.5,17.4,10.8,7.3,5.6
"1937",1937,0.9,3.3,4.6,9.8,18,19.3,21,22.3,18.6,13.7,6.6,1.9
"1938",1938,4.2,4.900001,10.5,9.8,15.2,18.3,21,22.8,19,13,10.7,2.3
"1939",1939,4.3,5.700001,5.2,11,15,20.7,21.2,22.8,18.6,9.7,7.9,2.5
