"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1901",1901,-4.4,-4.9,0.1,4.1,8.3,11.8,15.5,14.2,11.1,8.5,1.8,-0.4
"1902",1902,1.6,-3.6,0.6,2.6,5.4,11.3,12,11.3,9.300001,5.4,0.5,-2.5
"1903",1903,-1.1,1.7,3.2,2.4,8.7,11.7,13.5,12.4,10.6,7.2,2.9,-0.8
"1904",1904,-1.2,-0.6,0.2,4.7,7.4,11.2,13.5,13.1,10.2,6.5,3.2,1.5
"1905",1905,-2.4,0,1.7,2.6,8,13,14.6,13.3,10.8,3.5,2.2,0.6
"1906",1906,-0.4000001,0.1,0.3,4.1,9.1,11.9,13.8,13.5,11,7.4,5.5,-2.7
"1907",1907,-1.9,-2.3,0.1,2.7,7.4,10.9,12.1,12.3,10.1,9.7,2.2,0.1
"1908",1908,-2.1,0.5,0.2,2.4,8.2,12.2,14.5,12.6,10.2,6.2,-0.0999999,-1.4
"1909",1909,-2.3,-4.1,-1.6,2.4,5.3,10.5,12.6,12.9,10.7,8.799999,0.6000001,0.5
"1910",1910,-0.1,1.1,1,3.9,8.3,12.7,13.5,13.8,10.6,6.8,1.2,1.5
"1911",1911,-0.7,-0.4,1.1,3.7,9.2,11.3,14,15.1,11.1,6.3,3.7,1.9
"1912",1912,-4.5,-1.9,2.6,2.9,7.3,11.7,15.1,12.7,8.2,4.8,2,2.7
"1913",1913,-1.6,-0.1999999,2.2,4,8.1,11.5,13,12.6,10.7,6.7,5.5,1.5
"1914",1914,-3,1.7,1.8,5.2,7.3,12.1,16.1,14.5,10.6,7.2,2.7,2.6
"1915",1915,-1.6,-0.7,-1.3,3.2,6.8,11.7,13.2,13.1,9.7,5.2,1,-0.3
"1916",1916,1.5,-0.8,0.6,4.1,8,9.7,13.3,13.2,9.400001,6.1,3.9,1.2
"1917",1917,-3.4,-4.7,-3.1,1.4,7.7,13.5,14.3,14.7,11.8,5.9,3.9,-2.2
"1918",1918,-2,-0.4999999,0.3,4.9,8.400001,9.7,13.3,13.3,10.3,7.3,2.6,1.9
"1919",1919,-0.1999999,-2,-0.2,3,7.2,11.2,12.6,12,11.2,5,-1.2,-1.3
"1920",1920,-0.7,0.6999999,2.8,6.1,9,11,14.5,12.9,11.1,3.8,1.1,-0.3
"1921",1921,1.7,-0.0999999,2.9,4.6,9.3,10.7,13.7,13,9.900001,7.4,-0.5000002,-0.09999999
"1922",1922,-4.2,-4.1,0.5,2.1,7.9,10.9,12.9,12,9.6,3,1.7,1.7
"1923",1923,0.9000001,-2,1,2.2,7,9.400001,14.1,12.1,10.6,8.2,1.9,-3
"1924",1924,-4.8,-4.6,-1.9,2.1,8.1,10.9,12.7,12.8,11.7,7.4,2.6,1.6
"1925",1925,1.7,2,-0.7,4,9,11.1,15,14.4,9.900001,5.8,1,-2.3
"1926",1926,-1.4,0.9000002,0.9,4.8,7.3,11.4,15,13.5,11.1,5.2,4.7,0.4
"1927",1927,1,-0.7,3.1,3.5,5.4,9.400001,14.7,14.4,11.3,6.8,1.2,-4.3
"1928",1928,-0.7,0.3000001,-1.3,3,6.1,9.400001,12.8,12.5,9.5,6.6,5.3,-0.6
"1929",1929,-5.4,-8.5,-0.8,0.5999999,7.7,10,12.8,13,11.2,7.8,3.8,2.5
"1930",1930,1.2,-1.7,0.4,4.8,7.7,13,13.5,13.2,11,7,4.1,0.6
"1931",1931,-1.2,-1.9,-3.4,1.9,9.5,10.4,13.9,12.8,9,5.4,3.3,-0.2
"1932",1932,0.5000001,-2.3,-2.2,3.5,8.6,10.4,15.5,14.6,11.6,6.3,3,0.8
"1933",1933,-2.9,-1.6,0.8,3.2,7.8,12.2,14.8,13.3,10.4,7.4,2.5,-2.3
"1934",1934,-0.8,0.8000001,2.3,4,8.1,10.9,14,13.7,11.8,7.9,3.6,2.3
"1935",1935,-1.7,0.3000001,-0.3,4.1,5.9,12.5,13.7,12.8,11,6.8,3.9,0.1
"1936",1936,1.2,-2.2,0.9,2.8,8.400001,12.3,14.5,13.3,9.800001,4.599999,3.3,1.3
"1937",1937,-3.1,-0.7,0,5,9.5,12.1,14.6,14.8,11.4,8.2,2.2,-1.7
"1938",1938,0,-0.3,3.5,2.8,6.4,11.2,13.6,15.1,11.5,7.9,6.1,-1.5
"1939",1939,0.3,1.1,-0.2,4,6.900001,11.7,14.3,15,11.5,4.2,3.3,-1.9
"1940",1940,-8,-9.4,-2.1,2,7.5,12.4,13.7,12.3,9.1,4.9,3.5,-2.4
"1941",1941,-8.2,-4,-0.7,1.6,5.3,11.2,15.7,12.9,9.5,5.6,0.6000001,0.3
"1942",1942,-8.900001,-7.7,-5,2,6.6,9.5,12.7,14,11.4,7.7,2.6,1.1
"1943",1943,-2.7,1.7,1.5,5.2,7.5,11.7,13.6,13.9,11.1,7.3,2,-0.2
"1944",1944,1.5,-0.7,-0.4999999,3.4,6.5,10.5,14.7,15.6,10.6,7.3,2.9,-0.4
"1945",1945,-3.8,1,2.4,4.2,7.6,11.6,14.6,14.5,11,7.8,4,0.2
"1946",1946,-2.4,-0.6,-0.2,4.6,8.400001,11.2,14.9,13.3,11.7,4.599999,2.7,-1.9
"1947",1947,-5.700001,-9.1,-3.3,3.3,9.1,13.2,14.8,14.9,13.4,5.6,3.1,0.4
"1948",1948,-0.6000001,-1.5,1.1,5.5,8.5,12,13.8,14.4,11.9,6.6,2.9,0.8
"1949",1949,0.0999999,0.6,-0.9999999,4.8,8.400001,11.2,14.2,12.8,13.4,8,3.6,2.3
"1950",1950,-3.1,0,1.6,4.1,9.400001,12.2,14,14.6,11.2,6.7,2.9,-1.2
"1951",1951,-1.2,-0.6,-0.9,3.7,6.8,11.8,13.5,14.5,12.1,4.8,5.3,2.7
"1952",1952,-0.3000001,-0.4,-1.7,5.099999,7.9,10.7,13.1,13.8,8.900001,5.7,1.1,-1.2
"1953",1953,-0.8,-2,0.6,4.3,8.400001,13.5,14.4,13.4,10.3,8.5,4.4,1.3
"1954",1954,-3.6,-6.6,0.2,2,7.7,12.4,12.8,13.2,11.2,7.8,2.3,2.2
"1955",1955,-3,-4.7,-3.1,2.6,6.1,10,14.8,15.2,12,6.9,2.8,0.5
"1956",1956,-1.5,-9.6,-0.9999999,1.7,7.5,11.3,13.6,11.5,10.5,6.5,1.2,1.3
"1957",1957,0.1999999,1.5,1,2.6,5.9,11.5,14.9,13.3,9.300001,7.3,4,-0.2
"1958",1958,-2.4,-2.1,-2.4,1.7,8.1,11,13.8,13.4,11.6,8.3,3.9,1.1
"1959",1959,-1.5,-1.7,2,4.9,7.5,11.5,15.6,15.1,10.3,6,2.7,0.8
"1960",1960,-1.6,-3,0.2,3,8,12.2,12.9,13.6,10.5,7.5,4.3,1.6
"1961",1961,-2,1.7,3.2,5.4,8,12.7,13,12.7,12.2,9,2.9,-2.6
"1962",1962,0.6000001,-0.6,-2.1,3.8,6.8,10.4,12,12.3,9.800001,7.2,2.6,-3.1
"1963",1963,-8.5,-7.1,-2.1,3,8.1,12,14,13.7,10.8,6.6,5.5,-3.1
"1964",1964,-2.2,-2.3,-2.3,4.6,8.7,12.2,13.4,12.7,10.6,5.4,3.6,-0.2
"1965",1965,-0.1,-2.5,-1.1,3.5,6.6,11.8,11.8,11.7,11.3,6,-0.2,0
"1966",1966,-3.7,-2.4,1.1,2.2,8.3,13,13.5,12.9,10.6,8.5,2,0.8
"1967",1967,-1.5,0.9000002,3.3,3.2,8.400001,11.1,14.5,14,12.4,9.1,3.5,-0.4
"1968",1968,-2.6,-1.4,1.9,4.4,7.1,12.7,12.7,13.9,12.3,8.1,4.1,-2.2
"1969",1969,-2.2,-3.5,-2.4,2.8,7.8,12,14.8,14.3,11.6,8,3.4,-5.3
"1970",1970,-5.1,-4.4,-1.1,2.4,6.8,12.4,13.3,13.4,10.4,7.3,3.4,0.9
"1971",1971,-1.8,0.6,-1.2,3.3,8.6,10.9,14.1,14.3,10.2,7,2.7,3.4
"1972",1972,-3.9,-0.7,1.1,4.3,8,11.5,15,13.6,9,5.3,4.1,1.3
"1973",1973,-0.4000001,1.3,2.3,2.9,8.3,12.4,15,13.1,11,5.099999,1.5,-0.4
"1974",1974,1.5,1.8,1.3,3.6,7,11,12.9,13.8,11.5,5.5,4.2,3.4
"1975",1975,3.4,-0.7,1.1,3.5,7.6,10.8,14.9,15.8,12.8,7.1,2.1,1.8
